authority_code,authority_name,tier,tier_label,region,election_year,fi_value,n_parties,turnout_pct,is_whole_council,n_wards_observed
E08000013,St. Helens,1,Metropolitan Borough,North West,2016,2.609660571302492,6,28.874138468202162,False,16
E08000013,St. Helens,1,Metropolitan Borough,North West,2018,3.190968025543846,7,27.750034427524625,False,16
E08000013,St. Helens,1,Metropolitan Borough,North West,2022,2.9612399358642723,9,25.655723420468473,True,30
E08000014,Sefton,1,Metropolitan Borough,North West,2014,4.208812136164205,10,34.257440893672374,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2015,3.551002536244839,9,66.22370857344956,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2016,3.5882574848177184,8,31.40615601872434,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2018,2.8818052345294936,8,30.823658183808295,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2022,2.6164094122420365,9,33.85679525064558,True,30
E08000015,Wirral,1,Metropolitan Borough,North West,2014,3.7161242787620834,7,34.40183730307187,False,22
E08000015,Wirral,1,Metropolitan Borough,North West,2015,3.0556120989840223,7,70.49208907182128,False,22
E08000015,Wirral,1,Metropolitan Borough,North West,2016,3.0198122124759745,7,34.75194706850382,False,22
E08000015,Wirral,1,Metropolitan Borough,North West,2018,2.8216655720296093,7,35.43206871513912,False,22
E08000015,Wirral,1,Metropolitan Borough,North West,2022,1.7984496440937403,10,34.315701745674936,True,32
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,2014,3.2239583273312924,10,28.95530228002692,False,21
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,2015,2.9737138525557016,11,56.9383284529584,False,21
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,2016,2.7977199085690385,11,27.568323182013074,False,21
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,2018,2.595470119150245,10,24.55596607981482,False,21
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,2022,2.129705782547003,12,27.954199387487876,True,32
E08000017,Doncaster,1,Metropolitan Borough,Yorkshire and The Humber,2014,3.7392393174168,11,31.285502565419318,True,21
E08000017,Doncaster,1,Metropolitan Borough,Yorkshire and The Humber,2015,3.3999778435209276,10,25.16226843064753,True,21
E08000017,Doncaster,1,Metropolitan Borough,Yorkshire and The Humber,2016,2.825557409193022,4,32.62465198683878,False,1
E08000017,Doncaster,1,Metropolitan Borough,Yorkshire and The Humber,2018,2.512564523335933,6,17.362284207490422,False,2
E08000017,Doncaster,1,Metropolitan Borough,Yorkshire and The Humber,2022,3.2034182794322903,5,13.894688007422872,False,1
E08000018,Rotherham,1,Metropolitan Borough,Yorkshire and The Humber,2014,2.6801308808052875,9,34.249232831293426,True,21
E08000018,Rotherham,1,Metropolitan Borough,Yorkshire and The Humber,2015,2.896879205703514,7,58.886592415912034,True,21
E08000018,Rotherham,1,Metropolitan Borough,Yorkshire and The Humber,2016,2.78215946887256,8,12.598899430153967,True,21
E08000019,Sheffield,1,Metropolitan Borough,Yorkshire and The Humber,2014,4.151953236767421,7,35.19508632504115,False,28
E08000019,Sheffield,1,Metropolitan Borough,Yorkshire and The Humber,2015,3.9369781770872456,6,64.41166061093698,False,28
E08000019,Sheffield,1,Metropolitan Borough,Yorkshire and The Humber,2016,3.4991411599818942,8,12.55882325167066,False,28
