scenario_id,authority_code,metric,event_type,detail
S0,E09000008,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000008,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000008,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000008,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000008,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000009,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000009,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000009,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000009,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000009,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000009,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000010,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000010,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000010,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000010,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000010,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000010,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000011,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000011,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000011,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000011,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000011,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000011,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000012,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000012,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000012,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000012,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000012,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000012,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000013,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000013,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000013,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000013,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000013,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000013,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000014,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000014,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000014,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000014,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000014,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000014,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000015,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000015,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000015,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000015,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000015,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000015,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000016,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000016,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000016,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000016,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S3,E09000016,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S4,E09000016,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S0,E09000017,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E09000017,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S1,E09000017,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
S2,E09000017,turnout_delta,interval_widened,Expanded P90-P10 to RMSE floor 15.061156
