scenario_id,authority_code,authority_name,tier,election_active_2026,metric,P10,P50,P90,notes,point_estimate
S0,E08000001,Bolton,1,True,delta_fi,-1.0505512666666665,0.1300747333333334,0.9545807333333333,,0.0
S0,E08000001,Bolton,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000001,Bolton,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,,0.0
S0,E08000001,Bolton,1,True,volatility_score,-14.493585466666666,-2.7734704666666676,16.29055053333333,,0.0
S1,E08000001,Bolton,1,True,delta_fi,-1.199006103319555,-0.018380103319555002,0.731728896680445,,-0.1484548366528884
S1,E08000001,Bolton,1,True,swing_concentration,4.9543523333333574,6.416760333333357,8.428377333333357,,6.500000000000024
S1,E08000001,Bolton,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,8.044413333333335,,0.0
S1,E08000001,Bolton,1,True,volatility_score,-12.56781288499311,-2.1791298849931113,18.33558911500705,,1.9257725816735556
S2,E08000001,Bolton,1,True,delta_fi,-0.9367025866981171,0.14692941330188283,0.9940324133018829,,0.11384867996854942
S2,E08000001,Bolton,1,True,swing_concentration,5.3747243333333,6.364016333333299,8.4283773333333,,6.499999999999966
S2,E08000001,Bolton,1,True,turnout_delta,-13.069386666666666,-0.39668666666666574,8.044413333333335,,0.0
S2,E08000001,Bolton,1,True,volatility_score,-12.93666112668239,-1.2165461266823923,17.847474873317605,,1.5569243399842754
S3,E08000001,Bolton,1,True,delta_fi,-1.3106058431166587,-0.16228284311665878,0.5878261568833413,,-0.29235757644999216
S3,E08000001,Bolton,1,True,swing_concentration,4.954352333333319,6.364016333333319,8.42837733333332,,6.499999999999986
S3,E08000001,Bolton,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,,0.0
S3,E08000001,Bolton,1,True,volatility_score,-10.639764254891666,-0.25108125489166877,21.337031745108334,,3.8538212117749984
S4,E08000001,Bolton,1,True,delta_fi,-1.0505512666666665,0.1300747333333334,0.9545807333333333,copied_from_s0,0.0
S4,E08000001,Bolton,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S4,E08000001,Bolton,1,True,turnout_delta,-10.069386666666666,1.391313333333334,11.044413333333335,,3.0
S4,E08000001,Bolton,1,True,volatility_score,-14.493585466666666,-2.7734704666666676,16.29055053333333,copied_from_s0,0.0
S5,E08000001,Bolton,1,True,delta_fi,-1.0505512666666665,0.1300747333333334,0.9545807333333333,copied_from_s0,0.0
S5,E08000001,Bolton,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S5,E08000001,Bolton,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,copied_from_s0,0.0
S5,E08000001,Bolton,1,True,volatility_score,-14.493585466666666,-2.7734704666666676,16.29055053333333,copied_from_s0,0.0
S0,E08000002,Bury,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,,0.0
S0,E08000002,Bury,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000002,Bury,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,,0.0
S0,E08000002,Bury,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,16.29055053333333,,0.0
S1,E08000002,Bury,1,True,delta_fi,-1.1294985456777,0.018824454322299927,0.8433304543222998,,-0.11125027901103346
S1,E08000002,Bury,1,True,swing_concentration,3.8747243333333037,4.864016333333303,6.283925333333303,,4.99999999999997
S1,E08000002,Bury,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,8.044413333333335,,0.0
S1,E08000002,Bury,1,True,volatility_score,-12.549210606172192,-2.1605276061721934,19.42758539382781,,1.944374860494474
S2,E08000002,Bury,1,True,delta_fi,-0.9630933175516008,0.21753268244839916,0.9676416824483992,,0.08745794911506577
S2,E08000002,Bury,1,True,swing_concentration,3.4543523333333646,4.864016333333364,6.928377333333364,,5.000000000000031
S2,E08000002,Bury,1,True,turnout_delta,-10.888086666666666,-1.608686666666666,8.044413333333335,,0.0
S2,E08000002,Bury,1,True,volatility_score,-12.949856492109127,-1.2297414921091299,19.026939507890873,,1.5437289745575378
S3,E08000002,Bury,1,True,delta_fi,-1.2347701638582744,-0.08644716385827447,0.6636618361417256,,-0.21652189719160786
S3,E08000002,Bury,1,True,swing_concentration,3.454352333333328,4.8640163333333275,6.928377333333328,,4.999999999999995
S3,E08000002,Bury,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,6.440913333333334,,0.0
S3,E08000002,Bury,1,True,volatility_score,-10.601846415262472,-0.21316341526247395,20.182289584737525,,3.891739051404193
S4,E08000002,Bury,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S4,E08000002,Bury,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S4,E08000002,Bury,1,True,turnout_delta,-10.069386666666666,2.6033133333333343,9.601263333333554,,3.0
S4,E08000002,Bury,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,16.29055053333333,copied_from_s0,0.0
S5,E08000002,Bury,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S5,E08000002,Bury,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S5,E08000002,Bury,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,copied_from_s0,0.0
S5,E08000002,Bury,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,16.29055053333333,copied_from_s0,0.0
S0,E08000003,Manchester,1,True,delta_fi,-1.0214785666666664,0.03308073333333342,0.8801837333333334,,0.0
S0,E08000003,Manchester,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000003,Manchester,1,True,turnout_delta,-13.069386666666666,-0.39668666666666574,8.044413333333335,,0.0
S0,E08000003,Manchester,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,16.29055053333333,,0.0
S1,E08000003,Manchester,1,True,delta_fi,-1.0939196461727856,0.05440335382721437,0.8789093538272142,,-0.07567137950611902
S1,E08000003,Manchester,1,True,swing_concentration,2.954352333333315,4.364016333333314,6.428377333333314,,4.499999999999981
S1,E08000003,Manchester,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,6.440913333333334,,0.0
S1,E08000003,Manchester,1,True,volatility_score,-11.781300156419734,-2.1427381564197323,19.445374843580268,,1.9621643102469348
S2,E08000003,Manchester,1,True,delta_fi,-0.9589002962882045,0.09242870371179548,0.9395317037117955,,0.05934797037846207
S2,E08000003,Manchester,1,True,swing_concentration,3.3747243333333348,4.416760333333334,5.783925333333334,,4.500000000000001
S2,E08000003,Manchester,1,True,turnout_delta,-10.888086666666666,-0.39668666666666574,6.440913333333334,,0.0
S2,E08000003,Manchester,1,True,volatility_score,-12.963911481477435,-2.575228481477436,19.012884518522565,,1.529673985189231
S3,E08000003,Manchester,1,True,delta_fi,-1.1980574866672942,-0.017431486667294244,0.7326775133327058,,-0.14750622000062763
S3,E08000003,Manchester,1,True,swing_concentration,2.9543523333333335,4.364016333333333,5.783925333333333,,4.5
S3,E08000003,Manchester,1,True,turnout_delta,-13.069386666666666,-1.608686666666666,6.440913333333334,,0.0
S3,E08000003,Manchester,1,True,volatility_score,-10.56733857666698,-0.1786555766669813,21.40945742333302,,3.926246889999686
S4,E08000003,Manchester,1,True,delta_fi,-1.0214785666666664,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S4,E08000003,Manchester,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S4,E08000003,Manchester,1,True,turnout_delta,-10.069386666666666,2.6033133333333343,9.440913333333334,,3.0
S4,E08000003,Manchester,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,16.29055053333333,copied_from_s0,0.0
S5,E08000003,Manchester,1,True,delta_fi,-1.0214785666666664,0.03308073333333342,0.8801837333333334,copied_from_s0,0.0
S5,E08000003,Manchester,1,True,swing_concentration,1.0,1.0,2.928377333333333,copied_from_s0,1.0
S5,E08000003,Manchester,1,True,turnout_delta,-13.069386666666666,-0.39668666666666574,8.044413333333335,copied_from_s0,0.0
S5,E08000003,Manchester,1,True,volatility_score,-13.74346446666667,-2.7734704666666676,16.29055053333333,copied_from_s0,0.0
S0,E08000004,Oldham,1,True,delta_fi,-1.0182482666666666,0.03308073333333342,0.8801837333333334,,0.0
S0,E08000004,Oldham,1,True,swing_concentration,1.0,1.0,2.928377333333333,,1.0
S0,E08000004,Oldham,1,True,turnout_delta,-11.106216666666654,-0.39668666666666574,6.440913333333334,,0.0
S0,E08000004,Oldham,1,True,volatility_score,-14.493585466666666,-4.104902466666667,16.29055053333333,,0.0
S1,E08000004,Oldham,1,True,delta_fi,-0.9223396453136967,0.25828635468630323,1.082792354686303,,0.12821162135296982
S1,E08000004,Oldham,1,True,swing_concentration,4.874724333333331,5.86401633333333,7.92837733333333,,5.999999999999997
